Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2004,Shawn Estes,Rockies,36,80,0,13,2,0,1.30%,13.80%,0.069,0.279,0.236,0.247,0.306,0.241,25,0,-7.7,8.9,0.4,873
2004,Jeff Weaver,Dodgers,35,78,0,3,2,0,1.30%,33.30%,0.057,0.341,0.214,0.225,0.271,0.217,26,0,-7.5,8.6,0.4,503
2009,Max Scherzer,Diamondbacks,31,61,0,4,3,0,4.90%,27.90%,0.038,0.333,0.226,0.268,0.264,0.243,34,0,-4.9,6.6,0.4,3137
2006,Chan Ho Park,Padres,26,48,0,0,5,0,0.00%,25.00%,0,0.379,0.268,0.268,0.268,0.239,43,0,-3.6,5.7,0.4,1267
2004,Mike Hampton,Braves,36,71,2,7,7,0,4.20%,32.40%,0.141,0.231,0.172,0.209,0.313,0.226,28,0,-6.6,7.9,0.4,430
2006,Jake Peavy,Padres,32,69,2,6,9,0,1.40%,27.50%,0.15,0.205,0.167,0.18,0.317,0.21,25,0,-6.8,8.2,0.4,1051
2006,Jason Marquis,Cardinals,46,85,0,8,5,0,2.40%,16.50%,0.077,0.219,0.179,0.21,0.256,0.206,17,0,-9.3,10.1,0.4,105
2005,Josh Beckett,Marlins,29,71,1,5,6,0,9.90%,23.90%,0.102,0.19,0.153,0.239,0.254,0.226,33,0,-6,7.2,0.4,510
2006,Jorge Sosa,- - -,46,32,3,4,3,0,6.30%,34.40%,0.375,0,0.125,0.192,0.5,0.282,72,0,-1.2,3.8,0.4,1228
2006,Jamey Wright,Giants,35,52,0,4,1,0,0.00%,21.20%,0.043,0.333,0.255,0.255,0.298,0.242,37,0,-4.3,6.2,0.4,715
2003,Brooks Kieschnick,Brewers,70,76,7,12,12,0,7.90%,17.10%,0.314,0.28,0.3,0.355,0.614,0.409,148,-1.4,3.3,-2.2,0.4,389
2008,Mark Hendrickson,Marlins,37,37,0,4,1,0,2.70%,56.80%,0.114,0.643,0.257,0.278,0.371,0.283,65,0,-1.6,3.9,0.3,1574
2001,Troy Mattes,Expos,8,16,0,4,1,0,0.00%,12.50%,0.067,0.538,0.467,0.467,0.533,0.438,162,0,1.3,1.7,0.3,1008252
2009,Johan Santana,Mets,25,57,0,1,4,0,8.80%,24.60%,0.071,0.25,0.167,0.255,0.238,0.232,35,0,-4.6,6.2,0.3,755
2005,Brad Hennessey,Giants,21,41,2,3,5,0,0.00%,29.30%,0.179,0.28,0.231,0.231,0.41,0.272,60,0,-2.1,4.2,0.3,3720
2007,Adam Eaton,Phillies,34,71,1,4,5,0,4.20%,31.00%,0.065,0.308,0.21,0.246,0.274,0.234,30,0,-6.5,7.7,0.3,1029
2001,Denny Neagle,Rockies,30,68,2,6,9,0,2.90%,17.60%,0.179,0.209,0.196,0.233,0.375,0.258,32,0,-6.1,7.4,0.3,441
2003,Jason Jennings,Rockies,33,65,0,3,3,0,7.70%,24.60%,0.056,0.308,0.222,0.283,0.278,0.255,34,0,-5.5,6.9,0.3,434
2009,Tim Hudson,Braves,7,15,1,2,2,0,13.30%,6.70%,0.25,0.3,0.333,0.429,0.583,0.437,172,0,1.3,1.6,0.3,921
2002,Kevin Millwood,Braves,35,82,1,5,11,0,0.00%,32.90%,0.114,0.31,0.2,0.2,0.314,0.22,27,0,-7.5,8.2,0.3,106
2006,Andy Pettitte,Astros,38,73,1,4,5,0,1.40%,26.00%,0.097,0.262,0.194,0.206,0.29,0.215,20,0,-7.6,8.7,0.3,840
2005,Jason Vargas,Marlins,18,27,0,3,2,0,3.70%,25.90%,0.077,0.421,0.308,0.333,0.385,0.317,92,0,-0.3,2.7,0.3,8044
2008,Cole Hamels,Phillies,36,85,0,3,3,0,0.00%,34.10%,0.026,0.362,0.224,0.234,0.25,0.217,21,0,-8.4,9,0.3,4972
2008,Aaron Cook,Rockies,37,78,0,1,4,0,2.60%,26.90%,0.017,0.359,0.233,0.258,0.25,0.231,24,0,-7.5,8.3,0.3,1571
2000,Darren Dreifort,Dodgers,32,71,3,5,8,0,1.40%,35.20%,0.176,0.2,0.162,0.186,0.338,0.222,27,0,-7.1,8.2,0.3,647
2009,Chris Carpenter,Cardinals,28,69,1,3,7,0,2.90%,18.80%,0.095,0.204,0.175,0.212,0.27,0.215,24,0,-6.4,7.5,0.3,1292
2005,Jake Peavy,Padres,30,63,0,5,2,0,6.30%,25.40%,0.019,0.27,0.189,0.259,0.208,0.221,34,0,-5.2,6.4,0.3,1051
2003,Matt Morris,Cardinals,27,66,1,5,3,0,3.00%,24.20%,0.096,0.257,0.192,0.222,0.288,0.225,30,0,-5.9,7,0.3,1172
